categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori
Scarpe Sportive,44.5,donna,UNDER ARMOUR,CURRY CHAMPION MINDSET - Scarpe da basket - lemon ice,149.0,170.0,https://www.zalando.it/under-armour-scarpe-da-basket-lemon-ice-un244a02g-m11.html?size=44.5,CURRY CHAMPION MINDSET,scarpe da basket,lemon ice
Scarpe Sportive,44.5,donna,UNDER ARMOUR,INFINITE PRO UNISEX - Scarpe da trail running - ivory dune/aero pink,139.99,139.99,https://www.zalando.it/under-armour-infinite-pro-unisex-scarpe-da-trail-running-ivory-duneaero-pink-un242a0mq-b11.html?size=44.5,INFINITE PRO UNISEX,scarpe da trail running,ivory dune/aero pink
Scarpe Sportive,44.5,donna,ASICS,GEL-NIMBUS 27 - Sneakers basse - wave teal/illuminate mint,199.95,199.95,https://www.zalando.it/asics-gel-nimbus-27-scarpe-da-corsa-su-strada-wave-tealilluminate-mint-as141a1af-k11.html?size=44.5,GEL nimbus 27,sneakers basse, wave teal/illuminate mint
Scarpe Sportive,44.5,donna,MIZUNO,WAVE PHANTOM 3 UNISEX - Scarpe da pallamano - mint/black/blue,98.99,109.99,https://www.zalando.it/mizuno-wave-phantom-3-unisex-scarpe-da-pallamano-mintblackblue-m2744a00r-m11.html?size=44.5,WAVE PHANTOM 3 UNISEX,scarpe da pallamano,mint/black/blue
Scarpe Sportive,44.5,donna,UNDER ARMOUR,FAT TIRE VENTURE PRO UNISEX - Scarpe da allenamento - timberwolf taupe/federal tan/metallic silver,97.99,139.99,https://www.zalando.it/under-armour-fat-tire-venture-pro-unisex-scarpe-da-allenamento-timberwolf-taupefederal-tanmetallic-silver-un244a02z-b11.html?size=44.5,FAT TIRE VENTURE PRO UNISEX,scarpe da allenamento,timberwolf taupe/federal tan/metallic silver
Scarpe Sportive,44.5,donna,NEW BALANCE,HESI LOW - Scarpe da basket - sunfade red,119.99,119.99,https://www.zalando.it/new-balance-hesi-low-scarpe-da-basket-sunfade-red-ne242a0o5-j11.html?size=44.5,HESI LOW,scarpe da basket,sunfade red
Scarpe Sportive,44.5,donna,ASICS,GEL-TRABUCO 13 - Scarpe da trail running - black/nova orange,159.99,159.99,https://www.zalando.it/asics-gel-trabuco-13-scarpe-da-trail-running-blacknova-orange-as141a1a7-k11.html?size=44.5,GEL trabuco 13,scarpe da trail running, black/nova orange
Scarpe Sportive,44.5,donna,ASICS,TRABUCO TERRA 2 - Scarpe da trail running - saxon green/light ube,119.99,119.99,https://www.zalando.it/asics-trabuco-terra-2-scarpe-da-trail-running-saxon-greenlight-ube-as141a15k-m11.html?size=44.5,TRABUCO TERRA 2,scarpe da trail running,saxon green/light ube
Scarpe Sportive,44.5,donna,ASICS,JOLT 5 - Scarpe da corsa su strada - black/carrier grey,59.99,59.99,https://www.zalando.it/asics-jolt-5-scarpe-da-corsa-su-strada-blackcarrier-grey-as141a1ak-q12.html?size=44.5,JOLT 5,scarpe da corsa su strada,black/carrier grey
Scarpe Sportive,44.5,donna,NEW BALANCE,TWO - Scarpe da basket - passion fruit,129.99,129.99,https://www.zalando.it/new-balance-two-scarpe-da-basket-passion-fruit-ne242a0om-i11.html?size=44.5,TWO,scarpe da basket,passion fruit
