categoria,taglia,genere,marca,nome_prodotto,prezzo_effettivo,prezzo_ordinario,url_prodotto,modello,sport,colori
Scarpe Sportive,35.5,uomo,PUMA,MORPHIC - Scarpe da corsa su strada - white-warm white-sun struck,47.95,80.0,https://www.zalando.it/puma-morphic-sneakers-basse-white-warm-white-sun-struck-pu115o0pg-a18.html?size=35.5,MORPHIC,scarpe da corsa su strada,white-warm white-sun struck
Scarpe Sportive,35.5,uomo,PUMA,PROSPECT UNISEX - Scarpe da allenamento - black/yellow alert/white,48.95,70.0,https://www.zalando.it/puma-prospect-unisex-scarpe-da-allenamento-blackyellow-alertwhite-pu144a0bz-q12.html?size=35.5,PROSPECT UNISEX,scarpe da allenamento,black/yellow alert/white
Scarpe Sportive,35.5,uomo,PUMA,PWR HYBRID TR UNISEX - Scarpe da allenamento - black- white- black,63.95,80.0,https://www.zalando.it/puma-pwr-hybrid-tr-unisex-scarpe-da-allenamento-black-white-black-pu144a0cq-q13.html?size=35.5,PWR HYBRID TR UNISEX,scarpe da allenamento,black- white- black
Scarpe Sportive,35.5,uomo,UNDER ARMOUR,JET '23 - Scarpe da basket - black,60.0,60.0,https://www.zalando.it/under-armour-court-performance-ua-gs-jet-scarpe-da-basket-black-un243a04a-q11.html?size=35.5,JET '23,scarpe da basket,black
Scarpe Sportive,35.5,uomo,PUMA,ELIMINATE TURBO - Scarpe da pallamano - white/bluemazing,101.99,119.99,https://www.zalando.it/puma-eliminate-turbo-scarpe-da-pallamano-whitebluemazing-pu142a1u7-a11.html?size=35.5,ELIMINATE TURBO,scarpe da pallamano,white/bluemazing
Scarpe Sportive,35.5,uomo,PUMA,ANZARUN LITE - Scarpe da corsa su strada - black/white/lavender alert,43.95,55.0,https://www.zalando.it/puma-anzarun-scarpe-da-corsa-su-strada-black-white-lavender-alert-pu144a07j-q16.html?size=35.5,ANZARUN LITE,scarpe da corsa su strada,black/white/lavender alert
Scarpe Sportive,35.5,uomo,PUMA,POPCAT UNISEX - Ciabatte da mare - white pinktastic,39.99,39.99,https://www.zalando.it/puma-popcat-ciabatte-da-mare-white-pinktastic-pu115i000-a14.html?size=35.5,POPCAT UNISEX,ciabatte da mare,white pinktastic
Scarpe Sportive,35.5,uomo,PUMA,DARTER PRO - Scarpe da corsa su strada - black black cool dark gray,59.95,80.0,https://www.zalando.it/puma-scarpe-da-allenamento-black-black-cool-dark-gray-zzo32y902-q11.html?size=35.5,DARTER PRO,scarpe da corsa su strada,black black cool dark gray
Scarpe Sportive,35.5,uomo,PUMA,POPCAT UNISEX - Ciabatte da mare - black/white,25.0,25.0,https://www.zalando.it/puma-ciabattine-blackwhite-pu115i000-q11.html?size=35.5,POPCAT UNISEX,ciabatte da mare,black/white
Scarpe Sportive,35.5,uomo,PUMA,PWR NITRO SQD2 - Scarpe da corsa su strada - black green moon,103.95,130.0,https://www.zalando.it/puma-nitro-2-scarpe-da-corsa-su-strada-black-green-moon-pu144a0c2-q14.html?size=35.5,PWR NITRO SQD2,scarpe da corsa su strada,black green moon
Scarpe Sportive,35.5,uomo,PUMA,POPCAT UNISEX - Ciabatte da mare - white-dark coal,23.0,23.0,https://www.zalando.it/puma-popcat-ciabatte-da-mare-white-dark-coal-pu115i000-a15.html?size=35.5,POPCAT UNISEX,ciabatte da mare,white-dark coal
Scarpe Sportive,35.5,uomo,PUMA,NIGHT V3 - Scarpe da corsa su strada - black white,39.95,50.0,https://www.zalando.it/puma-scarpe-da-corsa-stabili-black-white-pu144a0ce-q11.html?size=35.5,NIGHT V3,scarpe da corsa su strada,black white
Scarpe Sportive,35.5,uomo,PUMA,POPCAT UNISEX - Ciabatte da mare - inky blue- white,23.0,23.0,https://www.zalando.it/puma-popcat-ciabatte-da-mare-inky-blue-white-pu115i000-k13.html?size=35.5,POPCAT UNISEX,ciabatte da mare,inky blue- white
Scarpe Sportive,35.5,uomo,PUMA,PWR HYBRID TR UNISEX - Scarpe da allenamento - galactic gray/black/green glare,63.95,80.0,https://www.zalando.it/puma-pwr-hybrid-unisex-scarpe-da-allenamento-galactic-grayblackgreen-glare-pu144a0cq-c11.html?size=35.5,PWR HYBRID TR UNISEX,scarpe da allenamento,galactic gray/black/green glare
Scarpe Sportive,35.5,uomo,PUMA,POPCAT UNISEX - Ciabatte da mare - white,22.0,25.0,https://www.zalando.it/puma-ciabattine-white-pu115i000-a11.html?size=35.5,POPCAT UNISEX,ciabatte da mare,white
Scarpe Sportive,35.5,uomo,NEW BALANCE,U740 UNISEX - Sneakers basse - white,119.99,119.99,https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-white-ne215p03o-a11.html?size=35.5,U740 UNISEX,sneakers basse,white
Scarpe Sportive,35.5,uomo,NEW BALANCE,U740 UNISEX - Sneakers basse - incense,119.99,119.99,https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-incense-ne215p003-b11.html?size=35.5,U740 UNISEX,sneakers basse,incense
Scarpe Sportive,35.5,uomo,NEW BALANCE,U740 - Sneakers basse - black,119.99,119.99,https://www.zalando.it/new-balance-u740-sneakers-basse-black-ne215p03y-q11.html?size=35.5,U740,sneakers basse,black
Scarpe Sportive,35.5,uomo,NEW BALANCE,U740 UNISEX - Sneakers basse - navy,119.99,119.99,https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-navy-ne215p015-b11.html?size=35.5,U740 UNISEX,sneakers basse,navy
Scarpe Sportive,35.5,uomo,NEW BALANCE,U740 - Sneakers basse - blue agate,119.99,119.99,https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-blue-agate-ne215p004-a11.html?size=35.5,U740,sneakers basse,blue agate
Scarpe Sportive,35.5,uomo,NEW BALANCE,U740 UNISEX - Sneakers basse - sea salt,119.99,119.99,https://www.zalando.it/new-balance-sneakers-basse-sea-salt-ne215p03f-a11.html?size=35.5,U740 UNISEX,sneakers basse,sea salt
Scarpe Sportive,35.5,uomo,NEW BALANCE,U740 - Sneakers basse - sun glow,119.99,119.99,https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-sun-glow-ne215p01v-k11.html?size=35.5,U740,sneakers basse,sun glow
Scarpe Sportive,35.5,uomo,NEW BALANCE,U740 UNISEX - Sneakers basse - black,120.0,120.0,https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-black-ne215p022-q11.html?size=35.5,U740 UNISEX,sneakers basse,black
Scarpe Sportive,35.5,uomo,NEW BALANCE,U740 - Sneakers basse - white,119.99,119.99,https://www.zalando.it/new-balance-u740-unisex-sneakers-basse-white-ne215p02i-a11.html?size=35.5,U740,sneakers basse,white
Scarpe Sportive,36.0,uomo,PUMA,MORPHIC - Scarpe da corsa su strada - white silver team royal,55.95,80.0,https://www.zalando.it/puma-morphic-sneakers-basse-white-silver-team-royal-pu115o0pg-a21.html?size=36,MORPHIC,scarpe da corsa su strada,white silver team royal
Scarpe Sportive,36.0,uomo,PUMA,MORPHIC - Scarpe da corsa su strada - white silver red,55.95,80.0,https://www.zalando.it/puma-morphic-sneakers-basse-white-silver-red-pu115o0pg-a19.html?size=36,MORPHIC,scarpe da corsa su strada,white silver red
Scarpe Sportive,36.0,uomo,PUMA,SCEND PRO 2 - Scarpe da corsa su strada - black-yellow alert-pure magenta,52.95,70.0,https://www.zalando.it/puma-scend-pro-2-scarpe-da-corsa-su-strada-black-yellow-alert-pure-magenta-pu142a1y5-q11.html?size=36,SCEND PRO 2,scarpe da corsa su strada,black-yellow alert-pure magenta
